articleID,reportedValue,obtainedValue,valueType,percentageError,comparisonOutcome,eyeballCheck
EXT_208-5-2015,1,1,df,0,MATCH,NA
EXT_208-5-2015,129,129,df,0,MATCH,NA
EXT_208-5-2015,115.98,117.27,F,1.1122607346094084,MINOR_ERROR,NA
EXT_208-5-2015,0.47,0.48,pes,2.1276595744680873,MINOR_ERROR,NA
EXT_208-5-2015,1,1,df,0,MATCH,NA
EXT_208-5-2015,129,129,df,0,MATCH,NA
EXT_208-5-2015,6.17,6.17,F,0,MATCH,NA
EXT_208-5-2015,0.014,0.014,p,0,MATCH,NA
EXT_208-5-2015,0.05,0.05,pes,0,MATCH,NA
EXT_208-5-2015,51.38,51.38,mean,0,MATCH,NA
EXT_208-5-2015,61.13,61.14,mean,0.016358580075246213,MINOR_ERROR,NA
EXT_208-5-2015,9.75,9.75,other,0,MATCH,NA
EXT_208-5-2015,7.94,7.68,ci,3.2745591939546683,MINOR_ERROR,NA
EXT_208-5-2015,11.57,11.83,ci,2.2471910112359534,MINOR_ERROR,NA
EXT_208-5-2015,61.92,61.92,mean,0,MATCH,NA
EXT_208-5-2015,49.98,49.98,mean,0,MATCH,NA
EXT_208-5-2015,11.94,11.94,mean,0,MATCH,NA
EXT_208-5-2015,66,66,df,0,MATCH,NA
EXT_208-5-2015,9.08,9.08,t,0,MATCH,NA
EXT_208-5-2015,1.11,1.39,d,25.225225225225206,MAJOR_ERROR,NA
EXT_208-5-2015,9.32,9.32,ci,0,MATCH,NA
EXT_208-5-2015,14.57,14.57,ci,0,MATCH,NA
EXT_208-5-2015,66,66,df,0,MATCH,NA
EXT_208-5-2015,11.08,11.08,t,0,MATCH,NA
EXT_208-5-2015,2.73,1.35,d,50.54945054945055,MAJOR_ERROR,NA
EXT_208-5-2015,11.92,11.92,mean,0,MATCH,NA
EXT_208-5-2015,9.77,9.77,ci,0,MATCH,NA
EXT_208-5-2015,14.07,14.07,ci,0,MATCH,NA
EXT_208-5-2015,66,66,df,0,MATCH,NA
EXT_208-5-2015,0.02,0.02,t,0,MATCH,NA
EXT_208-5-2015,-0.02,-0.02,mean,0,MATCH,NA
EXT_208-5-2015,-2.05,-2.05,ci,0,MATCH,NA
EXT_208-5-2015,2.01,2.01,ci,0,MATCH,NA
EXT_208-5-2015,60.31,60.31,mean,0,MATCH,NA
EXT_208-5-2015,52.85,52.85,mean,0,MATCH,NA
EXT_208-5-2015,7.46,7.47,mean,0.1340482573726513,MINOR_ERROR,NA
EXT_208-5-2015,63,63,df,0,MATCH,NA
EXT_208-5-2015,6.09,6.09,t,0,MATCH,NA
EXT_208-5-2015,0.7,0.89,d,27.142857142857153,MAJOR_ERROR,NA
EXT_208-5-2015,5.01,5.01,ci,0,MATCH,NA
EXT_208-5-2015,9.92,9.92,ci,0,MATCH,NA
EXT_208-5-2015,63,63,df,0,MATCH,NA
EXT_208-5-2015,11.53,11.53,t,0,MATCH,NA
EXT_208-5-2015,2.9,1.44,d,50.3448275862069,MAJOR_ERROR,NA
EXT_208-5-2015,10.31,10.31,mean,0,MATCH,NA
EXT_208-5-2015,8.52,8.52,ci,0,MATCH,NA
EXT_208-5-2015,12.1,12.1,ci,0,MATCH,NA
EXT_208-5-2015,63,63,df,0,MATCH,NA
EXT_208-5-2015,2.41,2.41,t,0,MATCH,NA
EXT_208-5-2015,0.019,0.019,p,0,MATCH,NA
EXT_208-5-2015,0.61,1.44,d,136.0655737704918,MAJOR_ERROR,NA
EXT_208-5-2015,2.85,2.85,mean,0,MATCH,NA
EXT_208-5-2015,0.49,0.49,ci,0,MATCH,NA
EXT_208-5-2015,5.21,5.21,ci,0,MATCH,NA
